,q_year,q_status,cod_year,type_clean,mw1,region,ix_voltage,diff_months_ia,diff_months_cod,diff_months_wd
0,2000.0,operational,2009.0,Gas,590.0,CAISO,230,,107.10692211339043,
1,2000.0,operational,2013.0,Gas,850.0,CAISO,230,,155.567876137087,
2,2000.0,operational,2005.0,Gas,521.0,CAISO,230,,62.19429557075094,
3,2000.0,withdrawn,2003.0,Gas,900.0,CAISO,0,,34.66190270847451,
4,2000.0,withdrawn,2008.0,Gas,1156.0,CAISO,230,,93.27501591408448,129.7439372471714
5,2000.0,operational,2013.0,Gas,570.0,CAISO,220,,153.10375983079734,
6,2000.0,withdrawn,2004.0,Gas,750.0,CAISO,0,,42.087106511427336,
7,2000.0,withdrawn,2008.0,Gas,1200.0,CAISO,0,,84.99558512495123,
8,2001.0,withdrawn,2009.0,Gas,620.0,CAISO,230,,92.02653031889771,
9,2002.0,withdrawn,2004.0,Wind,63.0,CAISO,0,,25.29826074457381,
10,2002.0,operational,2006.0,Wind,150.0,CAISO,230,,39.42586090063451,
11,2003.0,operational,2012.0,Hydro,40.0,CAISO,69,,115.74775662744615,
12,2003.0,operational,2009.0,Gas,65.0,CAISO,0,,80.82301484630075,
13,2003.0,withdrawn,2004.0,Wind,50.0,CAISO,0,,19.48294626173022,
14,2003.0,withdrawn,2006.0,Wind,56.0,CAISO,115,,38.70305345078955,
15,2003.0,withdrawn,2006.0,Solar,520.0,CAISO,500,,33.51198176553933,
16,2003.0,withdrawn,2005.0,Wind,200.0,CAISO,0,,32.559190127107335,
17,2003.0,operational,2005.0,Wind,46.0,CAISO,0,,27.433828210024846,
18,2003.0,operational,2018.0,Other,189.0,CAISO,220,,182.3446066654346,
19,2003.0,operational,2006.0,Wind,38.0,CAISO,0,,38.177375305447754,
20,2003.0,operational,2010.0,Wind,38.0,CAISO,230,,85.38984373395758,
21,2003.0,operational,2005.0,Gas,72.0,CAISO,127,,22.242756524774634,
22,2004.0,operational,2009.0,Wind,150.0,CAISO,0,,59.894453684880595,
23,2004.0,withdrawn,2005.0,Wind,117.0,CAISO,0,,16.000328548840837,
24,2004.0,withdrawn,2006.0,Wind,36.0,CAISO,0,,25.59395470132857,
25,2004.0,withdrawn,2010.0,Gas,650.0,CAISO,69,,70.27659705538102,
26,2004.0,withdrawn,2006.0,Gas,145.0,CAISO,115,,33.18343292470071,
